schema_version,run_id,interval_start_utc,zone_type,zone_id,demand_p10_mw,demand_p50_mw,demand_p90_mw,demand_percentile,supply_pressure,climate_exposure,generation_by_type_json,main_drivers_json,data_freshness_ok,quality_flags
system_signal_v1,fixture-20260919T000000Z,2026-09-19T02:00:00+00:00,SUBSYSTEM,N,4494.055,4730.584,4967.113,0.5,0.5914,0.18,"{""EOLIELÉTRICA"":756.893,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":2365.292,""TÉRMICA"":1040.728}","{""calendar_hour"":2,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T02:00:00+00:00,SUBSYSTEM,NE,10213.761,10751.327,11288.893,0.5,0.5914,0.18,"{""EOLIELÉTRICA"":1720.212,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5375.663,""TÉRMICA"":2365.292}","{""calendar_hour"":2,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T02:00:00+00:00,SUBSYSTEM,S,9396.66,9891.221,10385.782,0.5,0.5914,0.18,"{""EOLIELÉTRICA"":1582.595,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":4945.61,""TÉRMICA"":2176.069}","{""calendar_hour"":2,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T02:00:00+00:00,SUBSYSTEM,SE/CO,34318.235,36124.458,37930.681,0.5,0.5914,0.2,"{""EOLIELÉTRICA"":5779.913,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":18062.229,""TÉRMICA"":7947.381}","{""calendar_hour"":2,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T02:00:00+00:00,SIN,SIN,58422.71,61497.59,64572.469,0.5,0.5914,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":2,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T03:00:00+00:00,SUBSYSTEM,N,4511.252,4748.686,4986.12,0.4094,0.55,0.18,"{""EOLIELÉTRICA"":759.79,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":2374.343,""TÉRMICA"":1044.711}","{""calendar_hour"":3,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T03:00:00+00:00,SUBSYSTEM,NE,10252.845,10792.468,11332.091,0.4094,0.55,0.18,"{""EOLIELÉTRICA"":1726.795,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5396.234,""TÉRMICA"":2374.343}","{""calendar_hour"":3,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T03:00:00+00:00,SUBSYSTEM,S,9432.617,9929.071,10425.525,0.4094,0.55,0.18,"{""EOLIELÉTRICA"":1588.651,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":4964.535,""TÉRMICA"":2184.396}","{""calendar_hour"":3,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T03:00:00+00:00,SUBSYSTEM,SE/CO,34449.558,36262.693,38075.828,0.4094,0.55,0.2,"{""EOLIELÉTRICA"":5802.031,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":18131.346,""TÉRMICA"":7977.792}","{""calendar_hour"":3,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T03:00:00+00:00,SIN,SIN,58646.272,61732.918,64819.564,0.4094,0.55,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":3,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T04:00:00+00:00,SUBSYSTEM,N,4629.287,4872.934,5116.581,0.325,0.5018,0.18,"{""EOLIELÉTRICA"":779.669,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":2436.467,""TÉRMICA"":1072.045}","{""calendar_hour"":4,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T04:00:00+00:00,SUBSYSTEM,NE,10521.108,11074.851,11628.594,0.325,0.5018,0.18,"{""EOLIELÉTRICA"":1771.976,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5537.426,""TÉRMICA"":2436.467}","{""calendar_hour"":4,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T04:00:00+00:00,SUBSYSTEM,S,9679.42,10188.863,10698.306,0.325,0.5018,0.18,"{""EOLIELÉTRICA"":1630.218,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5094.431,""TÉRMICA"":2241.55}","{""calendar_hour"":4,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T04:00:00+00:00,SUBSYSTEM,SE/CO,35350.923,37211.498,39072.073,0.325,0.5018,0.2,"{""EOLIELÉTRICA"":5953.84,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":18605.749,""TÉRMICA"":8186.53}","{""calendar_hour"":4,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T04:00:00+00:00,SIN,SIN,60180.739,63348.146,66515.553,0.325,0.5018,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":4,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T05:00:00+00:00,SUBSYSTEM,N,4833.125,5087.5,5341.875,0.2525,0.45,0.18,"{""EOLIELÉTRICA"":814.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":2543.75,""TÉRMICA"":1119.25}","{""calendar_hour"":5,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T05:00:00+00:00,SUBSYSTEM,NE,10984.375,11562.5,12140.625,0.2525,0.45,0.18,"{""EOLIELÉTRICA"":1850.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5781.25,""TÉRMICA"":2543.75}","{""calendar_hour"":5,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T05:00:00+00:00,SUBSYSTEM,S,10105.625,10637.5,11169.375,0.2525,0.45,0.18,"{""EOLIELÉTRICA"":1702.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5318.75,""TÉRMICA"":2340.25}","{""calendar_hour"":5,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T05:00:00+00:00,SUBSYSTEM,SE/CO,36907.5,38850.0,40792.5,0.2525,0.45,0.2,"{""EOLIELÉTRICA"":6216.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":19425.0,""TÉRMICA"":8547.0}","{""calendar_hour"":5,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T05:00:00+00:00,SIN,SIN,62830.625,66137.5,69444.375,0.2525,0.45,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":5,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T06:00:00+00:00,SUBSYSTEM,N,5089.767,5357.65,5625.533,0.1969,0.3982,0.18,"{""EOLIELÉTRICA"":857.224,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":2678.825,""TÉRMICA"":1178.683}","{""calendar_hour"":6,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T06:00:00+00:00,SUBSYSTEM,NE,11567.652,12176.476,12785.3,0.1969,0.3982,0.18,"{""EOLIELÉTRICA"":1948.236,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":6088.238,""TÉRMICA"":2678.825}","{""calendar_hour"":6,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T06:00:00+00:00,SUBSYSTEM,S,10642.24,11202.358,11762.476,0.1969,0.3982,0.18,"{""EOLIELÉTRICA"":1792.377,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5601.179,""TÉRMICA"":2464.519}","{""calendar_hour"":6,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T06:00:00+00:00,SUBSYSTEM,SE/CO,38867.312,40912.96,42958.608,0.1969,0.3982,0.2,"{""EOLIELÉTRICA"":6546.074,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":20456.48,""TÉRMICA"":9000.851}","{""calendar_hour"":6,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T06:00:00+00:00,SIN,SIN,66166.972,69649.444,73131.916,0.1969,0.3982,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":6,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T07:00:00+00:00,SUBSYSTEM,N,5355.625,5637.5,5919.375,0.1619,0.35,0.18,"{""EOLIELÉTRICA"":902.0,""FOTOVOLTAICA"":175.091,""HIDROELÉTRICA"":2818.75,""TÉRMICA"":1240.25}","{""calendar_hour"":7,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T07:00:00+00:00,SUBSYSTEM,NE,12171.875,12812.5,13453.125,0.1619,0.35,0.18,"{""EOLIELÉTRICA"":2050.0,""FOTOVOLTAICA"":397.934,""HIDROELÉTRICA"":6406.25,""TÉRMICA"":2818.75}","{""calendar_hour"":7,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T07:00:00+00:00,SUBSYSTEM,S,11198.125,11787.5,12376.875,0.1619,0.35,0.18,"{""EOLIELÉTRICA"":1886.0,""FOTOVOLTAICA"":366.1,""HIDROELÉTRICA"":5893.75,""TÉRMICA"":2593.25}","{""calendar_hour"":7,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T07:00:00+00:00,SUBSYSTEM,SE/CO,40897.5,43050.0,45202.5,0.1619,0.35,0.2,"{""EOLIELÉTRICA"":6888.0,""FOTOVOLTAICA"":1337.059,""HIDROELÉTRICA"":21525.0,""TÉRMICA"":9471.0}","{""calendar_hour"":7,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T07:00:00+00:00,SIN,SIN,69623.125,73287.5,76951.875,0.1619,0.35,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":7,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T08:00:00+00:00,SUBSYSTEM,N,5586.482,5880.507,6174.532,0.15,0.3086,0.18,"{""EOLIELÉTRICA"":940.881,""FOTOVOLTAICA"":352.83,""HIDROELÉTRICA"":2940.253,""TÉRMICA"":1293.712}","{""calendar_hour"":8,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T08:00:00+00:00,SUBSYSTEM,NE,12696.55,13364.79,14033.03,0.15,0.3086,0.18,"{""EOLIELÉTRICA"":2138.366,""FOTOVOLTAICA"":801.887,""HIDROELÉTRICA"":6682.395,""TÉRMICA"":2940.254}","{""calendar_hour"":8,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T08:00:00+00:00,SUBSYSTEM,S,11680.827,12295.607,12910.387,0.15,0.3086,0.18,"{""EOLIELÉTRICA"":1967.297,""FOTOVOLTAICA"":737.736,""HIDROELÉTRICA"":6147.803,""TÉRMICA"":2705.034}","{""calendar_hour"":8,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T08:00:00+00:00,SUBSYSTEM,SE/CO,42660.408,44905.693,47150.978,0.15,0.3086,0.2,"{""EOLIELÉTRICA"":7184.911,""FOTOVOLTAICA"":2694.342,""HIDROELÉTRICA"":22452.846,""TÉRMICA"":9879.252}","{""calendar_hour"":8,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T08:00:00+00:00,SIN,SIN,72624.267,76446.597,80268.927,0.15,0.3086,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":8,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T09:00:00+00:00,SUBSYSTEM,N,5747.5,6050.0,6352.5,0.1619,0.2768,0.18,"{""EOLIELÉTRICA"":968.0,""FOTOVOLTAICA"":513.36,""HIDROELÉTRICA"":3025.0,""TÉRMICA"":1331.0}","{""calendar_hour"":9,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T09:00:00+00:00,SUBSYSTEM,NE,13062.5,13750.0,14437.5,0.1619,0.2768,0.18,"{""EOLIELÉTRICA"":2200.0,""FOTOVOLTAICA"":1166.726,""HIDROELÉTRICA"":6875.0,""TÉRMICA"":3025.0}","{""calendar_hour"":9,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T09:00:00+00:00,SUBSYSTEM,S,12017.5,12650.0,13282.5,0.1619,0.2768,0.18,"{""EOLIELÉTRICA"":2024.0,""FOTOVOLTAICA"":1073.388,""HIDROELÉTRICA"":6325.0,""TÉRMICA"":2783.0}","{""calendar_hour"":9,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T09:00:00+00:00,SUBSYSTEM,SE/CO,43890.0,46200.0,48510.0,0.1619,0.2768,0.2,"{""EOLIELÉTRICA"":7392.0,""FOTOVOLTAICA"":3920.2,""HIDROELÉTRICA"":23100.0,""TÉRMICA"":10164.0}","{""calendar_hour"":9,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T09:00:00+00:00,SIN,SIN,74717.5,78650.0,82582.5,0.1619,0.2768,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":9,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T10:00:00+00:00,SUBSYSTEM,N,5820.713,6127.066,6433.419,0.1969,0.2568,0.18,"{""EOLIELÉTRICA"":980.331,""FOTOVOLTAICA"":636.743,""HIDROELÉTRICA"":3063.533,""TÉRMICA"":1347.955}","{""calendar_hour"":10,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T10:00:00+00:00,SUBSYSTEM,NE,13228.892,13925.149,14621.406,0.1969,0.2568,0.18,"{""EOLIELÉTRICA"":2228.024,""FOTOVOLTAICA"":1447.144,""HIDROELÉTRICA"":6962.574,""TÉRMICA"":3063.533}","{""calendar_hour"":10,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T10:00:00+00:00,SUBSYSTEM,S,12170.58,12811.137,13451.694,0.1969,0.2568,0.18,"{""EOLIELÉTRICA"":2049.782,""FOTOVOLTAICA"":1331.372,""HIDROELÉTRICA"":6405.569,""TÉRMICA"":2818.45}","{""calendar_hour"":10,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T10:00:00+00:00,SUBSYSTEM,SE/CO,44449.077,46788.502,49127.927,0.1969,0.2568,0.2,"{""EOLIELÉTRICA"":7486.16,""FOTOVOLTAICA"":4862.404,""HIDROELÉTRICA"":23394.251,""TÉRMICA"":10293.47}","{""calendar_hour"":10,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T10:00:00+00:00,SIN,SIN,75669.261,79651.854,83634.447,0.1969,0.2568,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":10,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T11:00:00+00:00,SUBSYSTEM,N,5808.123,6113.814,6419.505,0.2525,0.25,0.18,"{""EOLIELÉTRICA"":978.21,""FOTOVOLTAICA"":708.659,""HIDROELÉTRICA"":3056.907,""TÉRMICA"":1345.039}","{""calendar_hour"":11,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T11:00:00+00:00,SUBSYSTEM,NE,13200.28,13895.032,14589.784,0.2525,0.25,0.18,"{""EOLIELÉTRICA"":2223.205,""FOTOVOLTAICA"":1610.588,""HIDROELÉTRICA"":6947.516,""TÉRMICA"":3056.907}","{""calendar_hour"":11,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T11:00:00+00:00,SUBSYSTEM,S,12144.258,12783.429,13422.6,0.2525,0.25,0.18,"{""EOLIELÉTRICA"":2045.349,""FOTOVOLTAICA"":1481.741,""HIDROELÉTRICA"":6391.715,""TÉRMICA"":2812.354}","{""calendar_hour"":11,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T11:00:00+00:00,SUBSYSTEM,SE/CO,44352.942,46687.307,49021.672,0.2525,0.25,0.2,"{""EOLIELÉTRICA"":7469.969,""FOTOVOLTAICA"":5411.577,""HIDROELÉTRICA"":23343.654,""TÉRMICA"":10271.208}","{""calendar_hour"":11,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T11:00:00+00:00,SIN,SIN,75505.603,79479.582,83453.561,0.2525,0.25,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":11,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T12:00:00+00:00,SUBSYSTEM,N,5729.696,6031.259,6332.822,0.325,0.2568,0.18,"{""EOLIELÉTRICA"":965.001,""FOTOVOLTAICA"":723.751,""HIDROELÉTRICA"":3015.63,""TÉRMICA"":1326.877}","{""calendar_hour"":12,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T12:00:00+00:00,SUBSYSTEM,NE,13022.037,13707.407,14392.777,0.325,0.2568,0.18,"{""EOLIELÉTRICA"":2193.185,""FOTOVOLTAICA"":1644.889,""HIDROELÉTRICA"":6853.703,""TÉRMICA"":3015.63}","{""calendar_hour"":12,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T12:00:00+00:00,SUBSYSTEM,S,11980.274,12610.815,13241.356,0.325,0.2568,0.18,"{""EOLIELÉTRICA"":2017.73,""FOTOVOLTAICA"":1513.298,""HIDROELÉTRICA"":6305.408,""TÉRMICA"":2774.379}","{""calendar_hour"":12,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T12:00:00+00:00,SUBSYSTEM,SE/CO,43754.044,46056.888,48359.732,0.325,0.2568,0.2,"{""EOLIELÉTRICA"":7369.102,""FOTOVOLTAICA"":5526.827,""HIDROELÉTRICA"":23028.444,""TÉRMICA"":10132.515}","{""calendar_hour"":12,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T12:00:00+00:00,SIN,SIN,74486.051,78406.369,82326.687,0.325,0.2568,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":12,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T13:00:00+00:00,SUBSYSTEM,N,5616.875,5912.5,6208.125,0.4094,0.2768,0.18,"{""EOLIELÉTRICA"":946.0,""FOTOVOLTAICA"":685.324,""HIDROELÉTRICA"":2956.25,""TÉRMICA"":1300.75}","{""calendar_hour"":13,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T13:00:00+00:00,SUBSYSTEM,NE,12765.625,13437.5,14109.375,0.4094,0.2768,0.18,"{""EOLIELÉTRICA"":2150.0,""FOTOVOLTAICA"":1557.555,""HIDROELÉTRICA"":6718.75,""TÉRMICA"":2956.25}","{""calendar_hour"":13,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T13:00:00+00:00,SUBSYSTEM,S,11744.375,12362.5,12980.625,0.4094,0.2768,0.18,"{""EOLIELÉTRICA"":1978.0,""FOTOVOLTAICA"":1432.951,""HIDROELÉTRICA"":6181.25,""TÉRMICA"":2719.75}","{""calendar_hour"":13,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T13:00:00+00:00,SUBSYSTEM,SE/CO,42892.5,45150.0,47407.5,0.4094,0.2768,0.2569,"{""EOLIELÉTRICA"":7224.0,""FOTOVOLTAICA"":5233.386,""HIDROELÉTRICA"":22575.0,""TÉRMICA"":9933.0}","{""calendar_hour"":13,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T13:00:00+00:00,SIN,SIN,73019.375,76862.5,80705.625,0.4094,0.2768,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":13,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T14:00:00+00:00,SUBSYSTEM,N,5503.447,5793.102,6082.757,0.5,0.3086,0.18,"{""EOLIELÉTRICA"":926.896,""FOTOVOLTAICA"":602.037,""HIDROELÉTRICA"":2896.551,""TÉRMICA"":1274.482}","{""calendar_hour"":14,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T14:00:00+00:00,SUBSYSTEM,NE,12507.834,13166.141,13824.448,0.5,0.3086,0.18,"{""EOLIELÉTRICA"":2106.583,""FOTOVOLTAICA"":1368.266,""HIDROELÉTRICA"":6583.07,""TÉRMICA"":2896.551}","{""calendar_hour"":14,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T14:00:00+00:00,SUBSYSTEM,S,11507.208,12112.85,12718.493,0.5,0.3086,0.18,"{""EOLIELÉTRICA"":1938.056,""FOTOVOLTAICA"":1258.804,""HIDROELÉTRICA"":6056.425,""TÉRMICA"":2664.827}","{""calendar_hour"":14,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T14:00:00+00:00,SUBSYSTEM,SE/CO,42026.323,44238.235,46450.147,0.5,0.3086,0.31,"{""EOLIELÉTRICA"":7078.118,""FOTOVOLTAICA"":4597.372,""HIDROELÉTRICA"":22119.118,""TÉRMICA"":9732.412}","{""calendar_hour"":14,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T14:00:00+00:00,SIN,SIN,71544.812,75310.328,79075.844,0.5,0.3086,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":14,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T15:00:00+00:00,SUBSYSTEM,N,5416.248,5701.314,5986.38,0.5906,0.35,0.18,"{""EOLIELÉTRICA"":912.21,""FOTOVOLTAICA"":483.773,""HIDROELÉTRICA"":2850.657,""TÉRMICA"":1254.289}","{""calendar_hour"":15,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
