cnpj_digits,cnpj,sigla,razao_social,uf,regiao,subsystem_id,codigo_area_atuacao,num_municipios,num_unidades_consumidoras,area_km2,subsystem_mapping_method
06272793000184,06.272.793/0001-84,EQUATORIAL MA,COMPANHIA ENERGÉTICA DO MARANHÃO,MA,NORDESTE,NE,C.049.MA.2000,217,2365546,329644.42597595,GEOGRAPHIC_REGION_PROXY_MVP
03467321000199,03.467.321/0001-99,EMT,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,MT,CENTRO-OESTE,SE/CO,C.013.MT.1997,141,1557764,903211.99338731,GEOGRAPHIC_REGION_PROXY_MVP
06981180000116,06.981.180/0001-16,CEMIG-D,CEMIG DISTRIBUIÇÃO S.A,MG,SUDESTE,SE/CO,C.007.MG.1997,780,9835494,567139.33209538,GEOGRAPHIC_REGION_PROXY_MVP
06840748000189,06.840.748/0001-89,EQUATORIAL PI,EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A,PI,NORDESTE,NE,C.079.PI.2018,224,1304073,251618.60286966,GEOGRAPHIC_REGION_PROXY_MVP
05914650000166,05.914.650/0001-66,ERO,ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A,RO,NORTE,N,C.080.RO.2018,60,831107,237766.6166281,GEOGRAPHIC_REGION_PROXY_MVP
01377555000110,01.377.555/0001-10,CHESP,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,GO,CENTRO-OESTE,SE/CO,C.037.GO.1999,10,37756,3216.51486646,GEOGRAPHIC_REGION_PROXY_MVP
75805895000130,75.805.895/0001-30,COCEL,COMPANHIA CAMPOLARGUENSE DE ENERGIA,PR,SUL,S,C.032.PR.1998,3,53038,1243.56199966,GEOGRAPHIC_REGION_PROXY_MVP
15139629000194,15.139.629/0001-94,COELBA,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,BA,NORDESTE,NE,C.008.BA.1997,415,6359992,563339.15028974,GEOGRAPHIC_REGION_PROXY_MVP
07047251000170,07.047.251/0001-70,ENEL CE,COMPANHIA ENERGÉTICA DO CEARÁ,CE,NORDESTE,NE,C.016.CE.1998,184,3669240,148895.80872851,GEOGRAPHIC_REGION_PROXY_MVP
83647990000181,83.647.990/0001-81,COOPERALIANÇA,COOPERATIVA ALIANÇA,SC,SUL,S,C.063.SC.2002,4,40009,702.9307139,GEOGRAPHIC_REGION_PROXY_MVP
04368898000106,04.368.898/0001-06,COPEL-DIS,COPEL DISTRIBUIÇÃO S.A.,PR,SUL,S,C.038.PR.1999,414,5224635,193319.60469042,GEOGRAPHIC_REGION_PROXY_MVP
08324196000181,08.324.196/0001-81,COSERN,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN,RN,NORDESTE,NE,C.015.RN.1997,167,1584315,52809.96986484,GEOGRAPHIC_REGION_PROXY_MVP
33050196000188,33.050.196/0001-88,CPFL PAULISTA,COMPANHIA PAULISTA DE FORÇA E LUZ,SP,SUDESTE,SE/CO,C.011.SP.1997,234,4669674,90705.86825076,GEOGRAPHIC_REGION_PROXY_MVP
04172213000151,04.172.213/0001-51,CPFL PIRATININGA,COMPANHIA PIRATININGA DE FORÇA E LUZ,SP,SUDESTE,SE/CO,C.065.SP.2002,27,1822183,6809.49580657,GEOGRAPHIC_REGION_PROXY_MVP
95289500000100,95.289.500/0001-00,DEMEI,DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ,RS,SUL,S,C.052.RS.2000,1,35339,689.09834924,GEOGRAPHIC_REGION_PROXY_MVP
23664303000104,23.664.303/0001-04,DMED,DME DISTRIBUIÇÃO S.A. - DMED,MG,SUDESTE,SE/CO,C.039.MG.1999,1,79049,546.96169792,GEOGRAPHIC_REGION_PROXY_MVP
86301124000122,86.301.124/0001-22,EFLJC,EMPRESA FORÇA E LUZ JOÃO CESA LTDA,SC,SUL,S,C.034.SC.1999,1,4195,262.09698045,GEOGRAPHIC_REGION_PROXY_MVP
86531175000140,86.531.175/0001-40,EFLUL,EMPRESA FORÇA E LUZ DE URUSSANGA LTDA,SC,SUL,S,C.033.SC.1999,1,7413,254.95558209,GEOGRAPHIC_REGION_PROXY_MVP
02328280000197,02.328.280/0001-97,ELEKTRO,ELEKTRO REDES S.A.,SP,SUDESTE,SE/CO,C.019.SP.1998,234,2771904,120620.69889259,GEOGRAPHIC_REGION_PROXY_MVP
04065033000170,04.065.033/0001-70,EAC,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,AC,NORTE,N,C.081.AC.2018,26,313752,164124.1599758,GEOGRAPHIC_REGION_PROXY_MVP
88446034000155,88.446.034/0001-55,ELETROCAR,CENTRAIS ELÉTRICAS DE CARAZINHO SA,RS,SUL,S,C.051.RS.2000,15,38432,2560.05629435,GEOGRAPHIC_REGION_PROXY_MVP
61695227000193,61.695.227/0001-93,ENEL SP,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,SP,SUDESTE,SE/CO,C.017.SP.1998,38,8234376,4507.25302635,GEOGRAPHIC_REGION_PROXY_MVP
27485069000109,27.485.069/0001-09,ELFSM,EMPRESA LUZ E FORÇA SANTA MARIA S/A,ES,SUDESTE,SE/CO,C.029.ES.1999,11,120467,5151.5756528,GEOGRAPHIC_REGION_PROXY_MVP
19527639000158,19.527.639/0001-58,EMG,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.,MG,SUDESTE,SE/CO,C.035.MG.1999,70,491291,15852.76689362,GEOGRAPHIC_REGION_PROXY_MVP
15413826000150,15.413.826/0001-50,EMS,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,MS,CENTRO-OESTE,SE/CO,C.012.MS.1997,74,1146357,328339.29153737,GEOGRAPHIC_REGION_PROXY_MVP
09095183000140,09.095.183/0001-40,EPB,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A,PB,NORDESTE,NE,C.059.PB.2001,218,1478641,54492.54436871,GEOGRAPHIC_REGION_PROXY_MVP
28152650000171,28.152.650/0001-71,EDP ES,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,ES,SUDESTE,SE/CO,C.001.ES.1995,73,1634590,40923.2012341,GEOGRAPHIC_REGION_PROXY_MVP
13017462000163,13.017.462/0001-63,ESE,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A,SE,NORDESTE,NE,C.014.SE.1997,63,815827,17493.05787172,GEOGRAPHIC_REGION_PROXY_MVP
91982348000187,91.982.348/0001-87,HIDROPAN,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,RS,SUL,S,C.053.RS.2000,2,18826,956.00354131,GEOGRAPHIC_REGION_PROXY_MVP
60444437000146,60.444.437/0001-46,LIGHT,LIGHT SERVIÇOS DE ELETRICIDADE S A,RJ,SUDESTE,SE/CO,C.002.RJ.1996,37,4490356,11286.72648771,GEOGRAPHIC_REGION_PROXY_MVP
97578090000134,97.578.090/0001-34,MUXENERGIA,MUXFELDT MARIN E CIA LTDA,RS,SUL,S,C.054.RS.2000,2,11833,586.86415741,GEOGRAPHIC_REGION_PROXY_MVP
13255658000196,13.255.658/0001-96,SULGIPE,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,SE,NORDESTE,NE,C.046.SE.1999,14,152350,5826.48776345,GEOGRAPHIC_REGION_PROXY_MVP
89889604000144,89.889.604/0001-44,UHENPAL,NOVA PALMA ENERGIA LTDA,RS,SUL,S,C.062.RS.2001,9,16275,1886.89988257,GEOGRAPHIC_REGION_PROXY_MVP
86433042000131,86.433.042/0001-31,CERBRANORTE,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,SC,SUL,S,P.023.SC.2008,5,16963,515.32510801,GEOGRAPHIC_REGION_PROXY_MVP
86449170000173,86.449.170/0001-73,CERGRAL,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,SC,SUL,S,P.020.SC.2008,4,6458,165.71970575,GEOGRAPHIC_REGION_PROXY_MVP
86512670000102,86.512.670/0001-02,CERSUL,CERSUL - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,SC,SUL,S,P.018.SC.2008,11,18059,1073.95934407,GEOGRAPHIC_REGION_PROXY_MVP
83646653000170,83.646.653/0001-70,COOPERA,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO - COOPERA,SC,SUL,S,P.017.SC.2008,4,26054,478.57419938,GEOGRAPHIC_REGION_PROXY_MVP
75568154000183,75.568.154/0001-83,COOPERMILA,COOPERATIVA DE ELETRIFICAÇÃO LAURO MULLER,SC,SUL,S,P.016.SC.2008,3,1242,271.85402353,GEOGRAPHIC_REGION_PROXY_MVP
97839922000129,97.839.922/0001-29,CERTAJA,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,RS,SUL,S,P.014.RS.2008,19,24496,1851.48252064,GEOGRAPHIC_REGION_PROXY_MVP
78274610000170,78.274.610/0001-70,CEPRAG,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,SC,SUL,S,P.027.SC.2010,4,18165,561.37437948,GEOGRAPHIC_REGION_PROXY_MVP
01229747000189,01.229.747/0001-89,CERGAPA,COOPERATIVA DE ELETRICIDADE GRÃO PARÁ,SC,SUL,S,P.035.SC.2010,3,3834,334.36423884,GEOGRAPHIC_REGION_PROXY_MVP
87656989000174,87.656.989/0001-74,CERILUZ,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,RS,SUL,S,P.034.RS.2010,24,14055,618.71289725,GEOGRAPHIC_REGION_PROXY_MVP
86533346000170,86.533.346/0001-70,CERMOFUL,COOPERATIVA FUMACENSE DE ELETRICIDADE,SC,SUL,S,P.037.SC.2010,6,14753,82.81906231,GEOGRAPHIC_REGION_PROXY_MVP
76583962000182,76.583.962/0001-82,CERTREL,COOPERATIVA DE ENERGIA TREVISO,SC,SUL,S,P.033.SC.2010,4,4326,156.68581317,GEOGRAPHIC_REGION_PROXY_MVP
86532348000145,86.532.348/0001-45,COOPERCOCAL,COOPERATIVA ENERGÉTICA COCAL,SC,SUL,S,P.032.SC.2010,9,10944,70.77309075,GEOGRAPHIC_REGION_PROXY_MVP
91950261000128,91.950.261/0001-28,CRELUZ-D,CRELUZ - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,RS,SUL,S,P.036.RS.2010,36,23709,881.89925858,GEOGRAPHIC_REGION_PROXY_MVP
02341470000144,02.341.470/0001-44,RRE,RORAIMA ENERGIA S.A,RR,NORTE,N,C.082.RR.2018,15,175609,224275.7960562,GEOGRAPHIC_REGION_PROXY_MVP
07282377000120,07.282.377/0001-20,ESS,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.,SP,SUDESTE,SE/CO,C.077.SP.1999,85,827430,32405.51840442,GEOGRAPHIC_REGION_PROXY_MVP
53859112000169,53.859.112/0001-69,CPFL SANTA CRUZ,COMPANHIA JAGUARI DE ENERGIA,SP,SUDESTE,SE/CO,C.078.SP.1999,46,473255,20249.70885064,GEOGRAPHIC_REGION_PROXY_MVP
85665990000130,85.665.990/0001-30,CEJAMA,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,SC,SUL,S,P.019.SC.2008,1,5275,430.70732098,GEOGRAPHIC_REGION_PROXY_MVP
30460297000139,30.460.297/0001-39,CASTRO-DIS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,PR,SUL,S,P.043.PR.2018,1,618,2531.52092296,GEOGRAPHIC_REGION_PROXY_MVP
86444163000189,86.444.163/0001-89,CEGERO,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,SC,SUL,S,P.045.SC.2018,1,6171,107.68826321,GEOGRAPHIC_REGION_PROXY_MVP
97505838000179,97.505.838/0001-79,CERFOX,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,RS,SUL,S,P.041.RS.2018,1,15719,583.46925883,GEOGRAPHIC_REGION_PROXY_MVP
11615872000180,11.615.872/0001-80,CERSAD,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,SC,SUL,S,P.046.SC.2018,1,1257,374.20799847,GEOGRAPHIC_REGION_PROXY_MVP
98042963000152,98.042.963/0001-52,CERTHIL,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,RS,SUL,S,P.042.RS.2018,1,8194,423.57078993,GEOGRAPHIC_REGION_PROXY_MVP
55188502000180,55.188.502/0001-80,CERVAM,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,SP,SUDESTE,SE/CO,P.048.SP.2018,1,4045,244.90815392,GEOGRAPHIC_REGION_PROXY_MVP
11810343000138,11.810.343/0001-38,CODESAM,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SANTA MARIA,SC,SUL,S,P.047.SC.2018,1,1299,387.94256989,GEOGRAPHIC_REGION_PROXY_MVP
83855973000130,83.855.973/0001-30,IENERGIA,IGUAÇU DISTRIBUIDORA DE ENERGIA ELÉTRICA LTDA.,SC,SUL,S,C.040.SC.1999,8,36873,685.16370728,GEOGRAPHIC_REGION_PROXY_MVP
79850574000109,79.850.574/0001-09,FORCEL,FORÇA E LUZ CORONEL VIVIDA LTDA,PR,SUL,S,C.044.PR.1999,1,8192,227.89284399,GEOGRAPHIC_REGION_PROXY_MVP
31465487000101,31.465.487/0001-01,CERES,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA,RJ,SUDESTE,SE/CO,P.010.RJ.2008,5,5562,342.39812492,GEOGRAPHIC_REGION_PROXY_MVP
52548732000114,52.548.732/0001-14,CERMC,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,SP,SUDESTE,SE/CO,P.006.SP.2008,2,2779,107.74576189,GEOGRAPHIC_REGION_PROXY_MVP
49313653000110,49.313.653/0001-10,CETRIL,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,SP,SUDESTE,SE/CO,P.008.SP.2008,2,27993,939.00552495,GEOGRAPHIC_REGION_PROXY_MVP
50105865000190,50.105.865/0001-90,CEDRI,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,SP,SUDESTE,SE/CO,P.002.SP.2008,4,3754,535.92699597,GEOGRAPHIC_REGION_PROXY_MVP
49606312000132,49.606.312/0001-32,CERIPA,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ LTDA,SP,SUDESTE,SE/CO,P.004.SP.2008,10,11378,2499.6819491,GEOGRAPHIC_REGION_PROXY_MVP
46598678000119,46.598.678/0001-19,CERRP,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO-CERRP,SP,SUDESTE,SE/CO,P.012.SP.2008,12,10279,4.42746613,GEOGRAPHIC_REGION_PROXY_MVP
75826404000138,75.826.404/0001-38,CERAL,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS - CERAL,SC,SUL,S,P.025.SC.2008,2,3433,743.48919697,GEOGRAPHIC_REGION_PROXY_MVP
53176038000186,53.176.038/0001-86,CERNHE,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,SP,SUDESTE,SE/CO,P.011.SP.2008,7,4310,931.74932017,GEOGRAPHIC_REGION_PROXY_MVP
97081434000103,97.081.434/0001-03,CERMISSÕES,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,RS,SUL,S,P.028.RS.2010,25,27498,5702.13968018,GEOGRAPHIC_REGION_PROXY_MVP
09257558000121,09.257.558/0001-21,CERTEL,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,RS,SUL,S,P.031.RS.2010,48,66568,1930.4971632,GEOGRAPHIC_REGION_PROXY_MVP
95824322000161,95.824.322/0001-61,COOPERLUZ,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,RS,SUL,S,P.030.RS.2010,18,15968,1050.94046192,GEOGRAPHIC_REGION_PROXY_MVP
90660754000160,90.660.754/0001-60,COPREL,COPREL COOPERATIVA DE ENERGIA,RS,SUL,S,P.029.RS.2010,81,53005,4472.20379701,GEOGRAPHIC_REGION_PROXY_MVP
52777034000190,52.777.034/0001-90,CEMIRIM,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,SP,SUDESTE,SE/CO,P.051.SP.2019,1,14257,65.57744443,GEOGRAPHIC_REGION_PROXY_MVP
88022918000182,88.022.918/0001-82,COOPERNORTE,COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE - COOPERNORTE,RS,SUL,S,P.049.RS.2018,1,6117,1495.94696433,GEOGRAPHIC_REGION_PROXY_MVP
87462750000163,87.462.750/0001-63,COOPERSUL,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,RS,SUL,S,P.050.RS.2018,1,5298,1551.35119106,GEOGRAPHIC_REGION_PROXY_MVP
27707397000102,27.707.397/0001-02,CERCI,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS ITABORAÍ LTDA,RJ,SUDESTE,SE/CO,P.039.RJ.2018,1,16046,954.75535524,GEOGRAPHIC_REGION_PROXY_MVP
28610236000169,28.610.236/0001-69,CERAL ARARUAMA,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA LTDA,RJ,SUDESTE,SE/CO,P.040.RJ.2018,1,6291,638.15431643,GEOGRAPHIC_REGION_PROXY_MVP
09364804000144,09.364.804/0001-44,CERAÇÁ,COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,SC,SUL,S,P.022.SC.2008,18,11510,791.11943631,GEOGRAPHIC_REGION_PROXY_MVP
10532365000110,10.532.365/0001-10,CERAL-DIS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ARAPOTI,PR,SUL,S,P.013.PR.2008,3,1043,907.76358641,GEOGRAPHIC_REGION_PROXY_MVP
13107842000199,13.107.842/0001-99,CERCOS,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,SE,NORDESTE,NE,P.009.SE.2008,1,6516,66.85715424,GEOGRAPHIC_REGION_PROXY_MVP
60196987000193,60.196.987/0001-93,CEDRAP,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO PARAÍBA,SP,SUDESTE,SE/CO,P.001.SP.2008,5,6718,939.73047374,GEOGRAPHIC_REGION_PROXY_MVP
50235449000107,50.235.449/0001-07,CERIM,COOPERATIVA DE ELETRIFICAÇÃO RURAL ITU-MAIRINQUE,SP,SUDESTE,SE/CO,P.003.SP.2008,7,11934,282.83504315,GEOGRAPHIC_REGION_PROXY_MVP
57384943000182,57.384.943/0001-82,CERIS,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DE ITAPECERICA DA SERRA,SP,SUDESTE,SE/CO,P.005.SP.2008,5,6092,236.6790597,GEOGRAPHIC_REGION_PROXY_MVP
44560381000139,44.560.381/0001-39,CERPRO,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,SP,SUDESTE,SE/CO,P.007.SP.2008,11,1773,773.61673674,GEOGRAPHIC_REGION_PROXY_MVP
89435598000155,89.435.598/0001-55,CRERAL,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,RS,SUL,S,P.038.RS.2010,37,7541,1778.29625023,GEOGRAPHIC_REGION_PROXY_MVP
82574864000181,82.574.864/0001-81,CEREJ,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,SC,SUL,S,P.026.SC.2008,15,14525,1704.42124927,GEOGRAPHIC_REGION_PROXY_MVP
86448057000173,86.448.057/0001-73,COORSEL,COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,SC,SUL,S,P.024.SC.2008,7,8481,548.88339252,GEOGRAPHIC_REGION_PROXY_MVP
86439510000185,86.439.510/0001-85,CERGAL,COOPERATIVA DE ELETRIFICAÇÃO  ANITA GARIBALDI LTDA,SC,SUL,S,P.015.SC.2008,4,18648,221.86250839,GEOGRAPHIC_REGION_PROXY_MVP
85318640000105,85.318.640/0001-05,CERPALO,COOPERATIVA DE ELETRICIDADE DE PAULO LOPES,SC,SUL,S,P.021.SC.2008,4,14561,531.93793142,GEOGRAPHIC_REGION_PROXY_MVP
02016440000162,02.016.440/0001-62,RGE,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,RS,SUL,S,C.084.RS.1997,647,3000526,187686.40486268,GEOGRAPHIC_REGION_PROXY_MVP
87776043000141,87.776.043/0001-41,CELETRO,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA,RS,SUL,S,P.101.RS.2020,1,23000,3735.19055667,GEOGRAPHIC_REGION_PROXY_MVP
78829843000192,78.829.843/0001-92,COOPERZEM,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,SC,SUL,S,P.044.SC.2018,1,7990,173.7,GEOGRAPHIC_REGION_PROXY_MVP
